Drug1	Drug2
DB00446	DB00728
DB00446	DB01006
DB00446	DB01355
DB00446	DB00731
DB00446	DB00700
DB00446	DB01238
DB00446	DB01078
DB00446	DB00349
DB00446	DB01198
DB00446	DB00463
DB00446	DB04942
DB00446	DB01120
DB00446	DB01410
DB00446	DB00588
DB00446	DB00745
DB00446	DB01252
DB00446	DB01166
DB00446	DB00317
DB00446	DB00820
DB00446	DB01169
DB00446	DB00203
DB00446	DB01251
DB00446	DB01353
DB00446	DB00047
DB00446	DB00266
DB00446	DB01126
DB00446	DB01259
DB00446	DB01276
DB00446	DB01306
DB00446	DB00046
DB00446	DB01307
DB00446	DB01309
DB00446	DB00474
DB00446	DB01268
DB00446	DB06717
DB00446	DB01418
DB00783	DB04630
DB00783	DB00635
DB00783	DB00599
DB00783	DB01354
DB00783	DB00396
DB00783	DB00655
DB00783	DB00624
DB00783	DB00741
DB00783	DB00783
DB00783	DB00199
DB00783	DB00717
DB00783	DB00091
DB00783	DB04573
DB00783	DB01045
DB00783	DB00414
DB00783	DB00564
DB00783	DB00269
DB00783	DB00672
DB00783	DB01211
DB00783	DB01068
DB00783	DB00257
DB00783	DB01406
DB00783	DB01234
DB00783	DB00900
DB00783	DB00196
DB00783	DB01185
DB00783	DB00996
DB00783	DB01016
DB00783	DB01167
DB00783	DB01026
DB00783	DB00709
DB00783	DB00555
DB00783	DB00532
DB00783	DB01124
DB00783	DB00620
DB00783	DB00347
DB00783	DB00313
DB00783	DB00959
DB00783	DB06710
DB00783	DB00943
DB00783	DB00495
DB00783	DB00503
DB00783	DB01232
DB00783	DB00418
DB00783	DB00238
DB00783	DB00649
DB00783	DB00860
DB00783	DB00794
DB00783	DB01229
DB00783	DB00617
DB00783	DB00312
DB00783	DB01121
DB00783	DB01174
DB00783	DB00832
DB00783	DB00252
DB00783	DB00776
DB00783	DB01080
DB00783	DB00949
DB00783	DB00273
DB00783	DB00909
DB00783	DB00593
DB00783	DB00977
DB00783	DB01351
DB00783	DB00255
DB00783	DB00582
DB00783	DB00834
DB00783	DB00222
DB00783	DB00912
DB00783	DB01352
DB00783	DB00849
DB00783	DB00754
DB00783	DB01202
DB00783	DB01110
DB00783	DB00239
DB00783	DB00251
DB00783	DB00701
DB00783	DB00625
DB00783	DB00890
DB00783	DB00367
DB00783	DB01420
DB00783	DB01128
DB00783	DB00882
DB00783	DB01380
DB00783	DB01355
DB00783	DB00976
DB00783	DB00731
DB00783	DB00879
DB00783	DB00378
DB00783	DB01321
DB00783	DB00349
DB00783	DB01072
DB00783	DB00823
DB00783	DB01361
DB00783	DB01431
DB00783	DB00463
DB00783	DB01601
DB00783	DB01120
DB00783	DB00718
DB00783	DB00778
DB00783	DB01252
DB00783	DB00300
DB00783	DB00304
DB00783	DB01263
DB00783	DB01353
DB00783	DB00230
DB00783	DB00047
DB00783	DB01264
DB00783	DB01609
DB00783	DB00954
DB00783	DB00442
DB00783	DB01259
DB00783	DB01306
DB00783	DB00046
DB00783	DB01307
DB00783	DB01309
DB00783	DB00474
DB00783	DB00896
DB00783	DB06717
DB00783	DB01048
DB01240	DB00945
DB01240	DB00040
DB01240	DB00788
DB01240	DB01050
DB01240	DB01009
DB01240	DB00328
DB01240	DB00770
DB01240	DB00443
DB01240	DB01211
DB01240	DB00618
DB01240	DB01234
DB01240	DB00975
DB01240	DB00620
DB01240	DB00959
DB01240	DB06710
DB01240	DB00860
DB01240	DB01039
DB01240	DB00758
DB01240	DB01420
DB01240	DB00814
DB01240	DB01380
DB01240	DB00560
DB01240	DB01393
DB01240	DB00569
DB01240	DB06725
DB01240	DB01166
DB01240	DB00009
DB01240	DB01609
DB00945	DB02056
DB00945	DB00278
DB00945	DB00898
DB00945	DB00741
DB00945	DB01240
DB00945	DB00945
DB00945	DB00040
DB00945	DB00788
DB00945	DB00605
DB00945	DB01050
DB00945	DB00554
DB00945	DB00861
DB00945	DB01009
DB00945	DB00328
DB00945	DB00563
DB00945	DB00784
DB00945	DB00770
DB00945	DB00091
DB00945	DB00284
DB00945	DB00819
DB00945	DB00414
DB00945	DB00335
DB00945	DB00443
DB00945	DB00887
DB00945	DB01197
DB00945	DB01136
DB00945	DB00672
DB00945	DB01211
DB00945	DB00618
DB00945	DB01234
DB00945	DB00390
DB00945	DB00975
DB00945	DB00450
DB00945	DB00903
DB00945	DB00749
DB00945	DB01047
DB00945	DB00846
DB00945	DB00712
DB00945	DB00695
DB00945	DB01067
DB00945	DB01016
DB00945	DB00999
DB00945	DB00808
DB00945	DB00722
DB00945	DB00839
DB00945	DB01124
DB00945	DB00214
DB00945	DB00519
DB00945	DB00620
DB00945	DB00384
DB00945	DB00197
DB00945	DB00177
DB00945	DB00959
DB00945	DB06710
DB00945	DB00549
DB00945	DB00929
DB00945	DB00178
DB00945	DB00461
DB00945	DB01399
DB00945	DB01203
DB00945	DB00421
DB00945	DB00795
DB00945	DB01138
DB00945	DB00991
DB00945	DB00860
DB00945	DB01032
DB00945	DB00652
DB00945	DB00812
DB00945	DB00252
DB00945	DB00960
DB00945	DB00727
DB00945	DB01144
DB00945	DB00880
DB00945	DB01029
DB00945	DB00977
DB00945	DB01351
DB00945	DB01039
DB00945	DB01398
DB00945	DB00482
DB00945	DB00533
DB00945	DB00222
DB00945	DB00912
DB00945	DB04830
DB00945	DB00412
DB00945	DB00492
DB00945	DB00491
DB00945	DB00796
DB00945	DB00966
DB00945	DB01020
DB00945	DB00436
DB00945	DB01194
DB00945	DB00774
DB00945	DB00703
DB00945	DB00232
DB00945	DB01324
DB00945	DB01021
DB00945	DB00843
DB00945	DB00394
DB00945	DB00758
DB00945	DB00472
DB00945	DB01420
DB00945	DB00573
DB00945	DB00814
DB00945	DB01380
DB00945	DB04743
DB00945	DB00560
DB00945	DB00731
DB00945	DB00700
DB00945	DB00476
DB00945	DB01544
DB00945	DB01078
DB00945	DB01558
DB00945	DB00606
DB00945	DB01013
DB00945	DB00223
DB00945	DB01393
DB00945	DB00288
DB00945	DB00663
DB00945	DB02266
DB00945	DB01120
DB00945	DB02925
DB00945	DB04878
DB00945	DB00469
DB00945	DB00240
DB00945	DB00591
DB00945	DB00569
DB00945	DB01252
DB00945	DB06725
DB00945	DB01166
DB00945	DB00761
DB00945	DB02383
DB00945	DB01193
DB00945	DB00939
DB00945	DB00612
DB00945	DB00264
DB00945	DB01104
DB00945	DB00715
DB00945	DB01214
DB00945	DB01251
DB00945	DB00311
DB00945	DB00009
DB00945	DB00047
DB00945	DB01609
DB00945	DB01628
DB00945	DB01283
DB00945	DB00881
DB00945	DB00790
DB00945	DB00266
DB00945	DB01276
DB00945	DB01306
DB00945	DB00046
DB00945	DB01307
DB00945	DB01309
DB00945	DB00331
DB00945	DB04861
DB00945	DB06802
DB00945	DB01297
DB00945	DB01278
DB00945	DB06209
DB00945	DB00031
DB00945	DB06655
DB00945	DB01418
DB00945	DB06695
DB00945	DB08807
DB00945	DB08808
DB00945	DB00215
DB00945	DB00869
DB00945	DB08816
DB00907	DB00684
DB00907	DB00335
DB00907	DB00181
DB00907	DB01203
DB00907	DB00652
DB00907	DB00850
DB00907	DB00960
DB00907	DB00985
DB00907	DB00818
DB00907	DB01100
DB00907	DB00781
DB00907	DB01238
DB00907	DB00391
DB00907	DB01544
DB00907	DB01558
DB00907	DB01071
DB00907	DB01429
DB00907	DB01198
DB00907	DB01608
DB00907	DB00484
DB01092	DB00681
DB01092	DB01203
DB00572	DB01235
DB00572	DB00502
DB00572	DB00543
DB00572	DB00363
DB00572	DB00390
DB00572	DB00951
DB00572	DB00334
DB00572	DB00545
DB00572	DB00413
DB00572	DB00185
DB00572	DB00283
DB00572	DB00843
DB00572	DB01233
DB00572	DB00083
DB00572	DB00392
DB00572	DB01238
DB00572	DB01071
DB00572	DB01551
