Drug1	Drug2
DB09053	DB00072
DB00072	DB09054
DB09054	DB00072
DB00072	DB09073
DB09073	DB00072
DB09077	DB00072
DB00072	DB09077
DB00072	DB09330
DB09330	DB00072
DB09547	DB00072
DB00072	DB09547
DB10829	DB00072
DB00072	DB10829
DB00108	DB00073
DB00073	DB00108
DB00073	DB00177
DB00177	DB00073
DB00073	DB00178
DB00178	DB00073
DB00073	DB00187
DB00187	DB00073
DB00195	DB00073
DB00073	DB00195
DB00206	DB00073
DB00073	DB00206
DB00214	DB00073
DB00073	DB00214
DB00232	DB00073
DB00073	DB00232
DB00264	DB00073
DB00073	DB00264
DB00073	DB00270
DB00270	DB00073
DB00275	DB00073
DB00073	DB00275
DB00073	DB00310
DB00310	DB00073
DB00073	DB00325
DB00325	DB00073
DB00335	DB00073
DB00073	DB00335
DB00073	DB00337
DB00337	DB00073
DB00073	DB00343
DB00343	DB00073
DB00350	DB00073
DB00073	DB00350
DB00363	DB00073
DB00073	DB00363
DB00073	DB00373
DB00373	DB00073
DB00381	DB00073
DB00073	DB00381
DB00073	DB00384
DB00384	DB00073
DB00073	DB00393
DB00393	DB00073
DB00073	DB00401
DB00401	DB00073
DB00073	DB00421
DB00421	DB00073
DB00073	DB00457
DB00457	DB00073
DB00489	DB00073
DB00073	DB00489
DB00492	DB00073
DB00073	DB00492
DB00073	DB00519
DB00519	DB00073
DB00524	DB00073
DB00073	DB00524
DB00542	DB00073
DB00073	DB00542
DB00571	DB00073
DB00073	DB00571
DB00575	DB00073
DB00073	DB00575
DB00073	DB00584
DB00584	DB00073
DB00590	DB00073
DB00073	DB00590
DB00594	DB00073
DB00073	DB00594
DB00598	DB00073
DB00073	DB00598
DB00612	DB00073
DB00073	DB00612
DB00622	DB00073
DB00073	DB00622
DB00073	DB00657
DB00657	DB00073
DB00661	DB00073
DB00073	DB00661
DB00678	DB00073
DB00073	DB00678
DB00073	DB00691
DB00691	DB00073
DB00692	DB00073
DB00073	DB00692
DB00073	DB00695
DB00695	DB00073
DB00073	DB00700
DB00700	DB00073
DB00073	DB00722
DB00722	DB00073
DB00073	DB00742
DB00742	DB00073
DB00073	DB00790
DB00790	DB00073
DB00073	DB00796
DB00796	DB00073
DB00808	DB00073
DB00073	DB00808
DB00864	DB00073
DB00073	DB00864
DB00073	DB00876
DB00876	DB00073
DB00880	DB00073
DB00073	DB00880
DB00881	DB00073
DB00073	DB00881
DB00073	DB00887
DB00887	DB00073
DB00903	DB00073
DB00073	DB00903
DB00925	DB00073
DB00073	DB00925
DB00073	DB00960
DB00960	DB00073
DB00073	DB00966
DB00966	DB00073
DB00073	DB00968
DB00968	DB00073
DB00999	DB00073
DB00073	DB00999
DB01018	DB00073
DB00073	DB01018
DB00073	DB01023
DB01023	DB00073
DB01029	DB00073
DB00073	DB01029
DB00073	DB01097
DB01097	DB00073
DB00073	DB01115
DB01115	DB00073
DB01136	DB00073
DB00073	DB01136
DB00073	DB01162
DB01162	DB00073
DB00073	DB01193
DB01193	DB00073
DB00073	DB01197
DB01197	DB00073
DB00073	DB01203
DB01203	DB00073
DB00073	DB01275
DB01275	DB00073
DB00073	DB01281
DB01281	DB00073
DB01340	DB00073
DB00073	DB01340
DB00073	DB01359
DB01359	DB00073
DB00073	DB01656
DB01656	DB00073
DB04817	DB00073
DB00073	DB04817
DB04861	DB00073
DB00073	DB04861
DB00073	DB04920
DB04920	DB00073
DB00073	DB06643
DB06643	DB00073
DB00073	DB06688
DB06688	DB00073
DB08822	DB00073
DB00073	DB08822
DB00073	DB08879
DB08879	DB00073
